"carnet"|"trunc"|"?column?"
"SG12035"|3|"2008-06-19 10:00:59.344008"
"EC10009"|3|"2012-12-11 10:25:04.55289"
"RU89001"|1|"2006-07-11 19:06:02.349506"
"RA15098"|1|"2011-02-14 23:07:56.881532"
"SE14003"|3|"2010-02-13 21:39:26.949919"
"GR04087"|2|"2006-11-08 18:24:37.938517"
"SA11015"|3|"2013-04-27 01:47:27.086565"
"AA08124"|1|"2008-07-26 09:21:37.824936"
"BC04020"|2|"2014-01-05 04:51:48.750871"
"MV02037"|2|"2010-07-18 22:24:12.69143"
"DD07020"|2|"2006-02-19 18:24:32.758829"
"RC07049"|3|"2013-09-12 10:32:11.264862"
"VH09008"|2|"2009-01-23 01:13:31.021558"
"HV09008"|1|"2013-05-14 19:34:19.18476"
"QQ06012"|2|"2010-12-05 18:27:24.042061"
"HC07029"|2|"2011-02-06 23:47:18.306844"
"CZ07001"|3|"2006-03-06 03:52:05.259046"
"AA08194"|3|"2010-06-11 06:44:21.460083"
"VM09023"|1|"2006-09-11 14:03:25.563862"
"OS08001"|3|"2011-07-15 16:04:29.51842"
"MH06029"|1|"2010-01-14 06:40:40.968139"
"SV04006"|2|"2008-02-20 01:57:29.97729"
"AA06076"|1|"2007-09-20 17:34:42.958008"
"MM13037"|1|"2008-05-10 18:15:56.767475"
"RR06006"|2|"2008-09-06 15:05:01.914627"
"MB13012"|2|"2013-12-27 03:57:05.516422"
"EF03005"|2|"2013-12-15 14:01:08.933133"
"MM92233"|3|"2013-11-10 19:43:09.454563"
"EA00004"|2|"2008-01-10 04:52:04.562892"
"NV01002"|1|"2006-12-12 20:04:01.211073"
"MH05037"|3|"2012-03-04 12:41:43.959264"
"GE04010"|1|"2009-02-16 20:02:44.281356"
"GG04033"|3|"2010-12-20 15:27:42.551403"
"RA96007"|2|"2008-12-15 19:41:52.090297"
"CG10072"|3|"2010-12-07 03:12:36.377504"
"AZ89002"|2|"2009-06-20 09:48:12.644979"
"BM04012"|1|"2011-03-09 06:30:29.165653"
"CE08006"|1|"2012-04-14 21:49:19.308921"
"RG10062"|1|"2012-07-07 07:59:43.433349"
"OC05016"|1|"2012-01-19 20:17:15.568245"
"CP99003"|1|"2008-08-04 18:00:42.259765"
"OP03006"|2|"2007-10-08 07:23:49.488103"
"VR08041"|3|"2013-10-01 21:41:40.470438"
"MM09105"|2|"2012-06-12 07:34:24.039425"
"EC06011"|2|"2007-07-12 14:17:09.059596"
"CM05020"|3|"2007-09-17 23:18:03.3073"
"VP05013"|3|"2006-09-22 15:57:27.674654"
"CS13044"|2|"2007-01-15 01:44:08.761335"
"PG12034"|2|"2013-12-07 23:54:46.539439"
"HM06005"|1|"2007-01-15 05:39:54.610183"
"CH93042"|1|"2007-07-04 00:04:50.973128"
"RC04112"|2|"2013-10-31 09:51:13.109172"
"SC94006"|2|"2006-09-07 20:48:54.146319"
"OA09006"|1|"2009-01-01 08:36:05.705952"
"FF83010"|2|"2008-03-05 10:08:21.954794"
"AL00003"|3|"2006-07-30 02:45:24.318781"
"MM98165"|2|"2013-04-07 09:02:15.175287"
"BR10022"|1|"2010-06-08 22:53:48.00061"
"ML90026"|1|"2006-11-10 19:08:24.363539"
"CS88006"|1|"2009-03-03 00:53:09.042503"
"CM15147"|2|"2012-06-18 14:43:21.514451"
"BB05036"|3|"2010-09-11 13:12:46.265447"
"MS94006"|3|"2009-12-30 07:38:09.010286"
"CC07109"|2|"2009-09-11 13:30:58.668866"
"SS98044"|1|"2010-09-02 03:24:22.699436"
"GG07088"|1|"2013-01-18 19:15:24.101174"
"LC11015"|1|"2010-10-20 05:49:33.761893"
"AE04013"|3|"2008-04-07 22:52:54.797535"
"RZ06015"|2|"2012-04-27 03:19:11.765301"
"AS11031"|2|"2013-05-07 15:44:39.060105"
"GG09055"|2|"2013-03-08 10:51:57.201542"
"RD06002"|1|"2008-06-09 23:48:13.727123"
"CP03008"|1|"2012-04-24 04:11:52.932017"
"MV06005"|2|"2008-08-16 10:33:21.958647"
"MR08023"|3|"2013-01-21 09:38:32.499336"
"GA12084"|3|"2011-10-10 18:07:54.142349"
"BT06003"|2|"2007-02-22 04:36:20.343742"
"MI07005"|2|"2006-10-31 22:05:57.127112"
"LV06004"|2|"2012-02-15 05:29:18.66847"
"CS10010"|2|"2008-10-18 02:26:07.911425"
"LG07014"|3|"2006-10-13 04:56:15.248573"
"SS06027"|3|"2011-06-06 22:18:49.833481"
"SC09062"|3|"2006-08-27 18:07:21.733318"
"CG98045"|1|"2009-12-12 12:46:50.519081"
"BR08004"|1|"2012-03-10 00:49:48.261563"
"ME05004"|3|"2009-07-24 01:46:07.829586"
"RM07018"|3|"2007-06-13 19:45:59.28449"
"HG15052"|1|"2009-03-31 03:04:27.410287"
"RC04112"|1|"2006-04-03 03:53:02.867076"
"CS04047"|3|"2013-05-29 13:47:00.808303"
"MC04147"|3|"2010-09-18 08:40:18.958153"
"GG03052"|2|"2007-01-15 03:26:17.168797"
"VR08030"|2|"2013-06-29 00:48:26.524683"
"CM98076"|2|"2012-07-01 14:30:04.534341"
"MG13031"|3|"2008-07-15 09:38:22.010883"
"BG11028"|3|"2011-12-18 19:39:37.833974"
"AM03110"|1|"2007-12-10 02:58:43.403402"
"FP04004"|3|"2006-10-13 05:11:34.345694"
"PG06018"|3|"2012-12-03 18:49:04.63276"
"MM11026"|2|"2007-08-02 19:08:10.831181"
"MP08069"|1|"2008-01-15 11:37:04.654754"
"ME01019"|1|"2012-05-11 11:43:44.557681"
"OS04007"|3|"2010-08-11 03:53:38.278621"
"AP91040"|2|"2010-12-25 01:44:31.343232"
"RZ01002"|3|"2011-12-18 16:22:54.827647"
"PP94016"|2|"2012-05-18 06:53:40.276984"
"ML03040"|3|"2010-02-05 23:30:41.899736"
"MC89048"|2|"2007-03-29 21:18:06.756199"
"HV10026"|1|"2011-04-13 19:20:30.222048"
"RZ05003"|3|"2011-08-26 18:56:55.354998"
"GM04117"|3|"2013-07-17 06:48:32.402563"
"GP97031"|1|"2012-01-22 12:27:07.540723"
"RE10022"|1|"2011-04-11 18:04:37.394764"
"HM08035"|2|"2007-11-04 12:59:25.207243"
"QC93013"|3|"2007-10-26 16:32:06.109794"
"AC05025"|3|"2013-08-11 17:00:57.956612"
"BO05001"|3|"2010-02-21 16:43:08.215124"
"RA05082"|2|"2012-02-22 20:35:11.554164"
"AM08063"|1|"2010-10-07 04:24:38.727351"
"NC12019"|2|"2007-01-22 18:39:21.020373"
"SM99036"|1|"2006-04-01 06:05:43.278829"
"RR06143"|2|"2012-05-10 09:06:48.272891"
"SE10002"|2|"2006-02-25 12:58:37.465136"
"MB07017"|2|"2007-03-13 07:24:30.497066"
"RL08012"|3|"2011-02-20 10:39:01.809111"
"CH01004"|3|"2012-09-05 10:29:28.496875"
"HP09009"|2|"2006-08-29 04:55:17.622798"
"RR97081"|1|"2006-06-25 23:28:02.151491"
"AM00055"|3|"2007-07-20 06:37:57.977227"
"AL06025"|3|"2008-06-04 12:45:42.940272"
"FF07003"|3|"2008-08-08 15:29:10.705058"
"RR99093"|3|"2009-01-23 18:09:41.038138"
"LL08042"|2|"2013-10-17 07:44:59.766533"
"PC06007"|1|"2009-08-30 01:14:41.204692"
"EM10028"|2|"2009-06-04 05:06:16.884953"
"PE08005"|1|"2012-12-13 10:34:08.425196"
"RP11017"|1|"2013-11-12 16:26:13.426875"
"AA11048"|1|"2008-07-19 04:13:10.546929"
"SC02022"|2|"2010-12-06 21:21:33.988972"
"RM99001"|3|"2011-06-23 03:32:43.210108"
"AA03032"|2|"2012-10-25 00:01:59.490119"
"ED09008"|3|"2010-12-17 06:50:53.477118"
"PV99014"|3|"2013-02-14 15:38:52.144234"
"HB05017"|1|"2011-03-24 14:41:40.286603"
"GZ12008"|3|"2010-12-26 00:48:24.493526"
"GH02023"|3|"2010-01-28 11:13:20.790218"
"FL08002"|1|"2010-12-21 22:11:43.406518"
"GC09009"|1|"2007-08-07 21:54:24.323896"
"SM02043"|2|"2009-06-26 11:52:56.213942"
"GS15015"|3|"2010-11-13 00:10:59.219964"
"HR01004"|1|"2007-10-14 08:07:27.441723"
"SH07021"|1|"2007-11-19 21:35:05.056167"
"AH07048"|2|"2012-09-15 10:24:16.688756"
"VS05013"|1|"2007-12-09 04:57:03.104094"
"NR09006"|3|"2008-06-28 04:01:24.550759"
"LL01003"|3|"2013-01-14 20:35:35.516882"
"VA05020"|3|"2008-01-27 09:54:57.072923"
"RC05091"|3|"2011-08-29 22:33:44.604492"
"GO08006"|3|"2011-04-17 14:00:22.039057"
"AG09006"|3|"2013-07-20 14:52:16.972092"
"LA98013"|2|"2011-11-03 22:06:17.324343"
"AE06004"|1|"2012-10-17 18:39:59.94861"
"RP01035"|1|"2011-08-28 01:10:07.94165"
"BP98011"|3|"2007-06-01 01:34:04.967782"
"HV05018"|3|"2009-01-09 20:42:12.662535"
"GL10034"|1|"2006-09-18 00:35:03.211559"
"SC09022"|3|"2008-05-08 12:59:47.84446"
"SS09019"|2|"2013-05-05 03:35:04.823348"
"DR08015"|1|"2009-01-07 15:24:24.520139"
"CA94059"|3|"2008-04-19 20:12:02.643418"
"DG04002"|2|"2013-01-17 10:37:01.411745"
"AL94005"|2|"2011-10-15 07:39:40.39545"
"VA08025"|1|"2009-06-12 18:34:05.536655"
"MQ03011"|3|"2010-11-11 03:02:41.185674"
"CJ03005"|2|"2009-12-04 13:04:31.90108"
"RR09200"|2|"2013-07-04 13:27:56.229499"
"IR09007"|1|"2009-01-09 05:44:25.91019"
"VP06014"|2|"2010-05-06 00:19:34.370137"
"RC97016"|3|"2009-10-03 14:57:01.386499"
"RR11151"|3|"2006-11-30 12:12:44.619078"
"VB77008"|3|"2012-12-24 08:12:34.523142"
"MV07028"|3|"2011-10-28 10:42:59.393141"
"SC91048"|1|"2012-06-06 16:23:00.794351"
"BI10002"|2|"2010-07-02 19:06:41.805506"
"RM12107"|1|"2007-04-01 05:50:06.440154"
"RE99004"|1|"2013-02-04 14:57:59.39818"
"RP06032"|3|"2007-04-08 18:29:32.49498"
"GL10036"|3|"2010-12-11 12:24:51.39637"
"MM05235"|3|"2012-04-03 11:07:23.25583"
"AR05032"|2|"2010-05-28 00:32:56.589272"
"LA09003"|3|"2011-01-11 17:05:41.241708"
"GO83019"|2|"2011-03-22 03:07:01.722479"
"MM04024"|2|"2011-09-13 08:03:34.629564"
"EA05004"|1|"2009-03-15 09:29:38.646136"
"MA02060"|2|"2011-10-15 22:38:01.001871"
"PA06057"|1|"2009-11-17 08:38:47.668569"
"CN08001"|2|"2010-05-05 01:59:17.589227"
"BP05008"|2|"2011-01-04 00:06:02.25005"
"ML09029"|1|"2013-12-06 01:58:58.671509"
"GH08007"|1|"2007-04-23 03:15:09.485183"
"MG14022"|2|"2007-08-11 19:03:43.722075"
"RU05014"|3|"2012-04-14 05:06:41.672983"
"MD03037"|1|"2010-04-17 02:54:18.938738"
"BA97022"|2|"2011-04-09 23:18:03.995961"
"MP03018"|3|"2013-08-30 05:47:50.747863"
"MC10106"|2|"2008-05-13 10:48:58.865563"
"MM04103"|2|"2013-07-07 22:19:00.441303"
"AL08010"|1|"2006-11-16 12:53:57.268021"
"MZ03005"|3|"2013-05-21 00:11:21.010971"
"SR01013"|1|"2006-10-22 05:00:09.039199"
"CA05041"|1|"2010-06-05 08:40:26.318077"
